URL,title,categories,news_created,scrapped_at
https://www.jpnn.com/news/youtube-menperbarui-belasan-fitur-di-berbagai-saluran,YouTube Menperbarui Belasan Fitur di Berbagai Saluran,Smart, 17 Oktober 2024 19:54 WIB,12/15/2024 19:52:54
https://www.jpnn.com/news/advan-tbook-hadir-dengan-prosesor-intel-celeron-n100-harganya-rp-2-jutaan,"Advan Tbook Hadir dengan Prosesor Intel Celeron N100, Harganya Rp 2 Jutaan",Internet, 17 Oktober 2024 16:06 WIB,12/15/2024 19:52:54
https://www.jpnn.com/news/kolaborasi-dengan-epson-hadirkan-pengalaman-visual-baru-di-pembukaan-kembali-museum-nasional,"Kolaborasi dengan Epson, Hadirkan Pengalaman Visual Baru di Pembukaan Kembali Museum Nasional",Smart, 17 Oktober 2024 06:48 WIB,12/15/2024 19:52:54
https://www.jpnn.com/news/apple-menghadirkan-2-fitur-baru-pada-pembaruan-ios-18,Apple Menghadirkan 2 Fitur Baru Pada Pembaruan iOS 18,Smart, 15 Oktober 2024 22:44 WIB,12/15/2024 19:52:55
https://www.jpnn.com/news/3-ide-konten-unik-yang-bisa-dibuat-pakai-galaxy-z-flip6,3 Ide Konten Unik yang Bisa Dibuat Pakai Galaxy Z Flip6,Gadget, 15 Oktober 2024 17:55 WIB,12/15/2024 19:52:55
https://www.jpnn.com/news/software-testing-makin-diminati-idstb-conference-2024-dapat-sambutan-antusias,"Software Testing Makin Diminati, IDSTB Conference 2024 Dapat Sambutan Antusias",Internet, 12 Oktober 2024 16:32 WIB,12/15/2024 19:52:55
https://www.jpnn.com/news/proxsis-merayakan-19-tahun-perjalanan-transformasi-menuju-tiga-dekade,Proxsis Merayakan 19 Tahun Perjalanan: Transformasi Menuju Tiga Dekade,Teknologi, 12 Oktober 2024 13:54 WIB,12/15/2024 19:52:55
https://www.jpnn.com/news/talentlytica-unjuk-gigi-di-ical-2024-teknologi-psikometri-indonesia-mendunia,"Talentlytica Unjuk Gigi di ICAL 2024, Teknologi Psikometri Indonesia Mendunia",Sains, 11 Oktober 2024 19:14 WIB,12/15/2024 19:52:55
https://www.jpnn.com/news/pakar-digital-berbagi-tip-cegah-judi-online-singgung-influencer,"Pakar Digital Berbagi Tip Cegah Judi Online, Singgung Influencer",Internet, 11 Oktober 2024 16:01 WIB,12/15/2024 19:52:56
https://www.jpnn.com/news/melanggar-aturan-aplikasi-temu-ditutup-kemenkominfo,"Melanggar Aturan, Aplikasi TEMU Ditutup Kemenkominfo",Komunikasi, 10 Oktober 2024 17:02 WIB,12/15/2024 19:52:56
https://www.jpnn.com/news/gandeng-channel-jowo-dens-tv-hadirkan-konten-budaya-jawa,"Gandeng Channel Jowo, Dens TV Hadirkan Konten Budaya Jawa",Smart, 10 Oktober 2024 14:03 WIB,12/15/2024 19:52:56
https://www.jpnn.com/news/infinix-smart-9-rekomendasi-hp-sejutaan-tahan-air-dan-debu,"Infinix SMART 9, Rekomendasi HP Sejutaan Tahan Air dan Debu",Gadget, 09 Oktober 2024 21:00 WIB,12/15/2024 19:52:56
https://www.jpnn.com/news/jete-volt-diluncurkan-cocok-untuk-aktivitas-olahraga-outdoor,"JETE VOLT Diluncurkan, Cocok untuk Aktivitas & Olahraga Outdoor",Smart, 09 Oktober 2024 00:01 WIB,12/15/2024 19:52:56
https://www.jpnn.com/news/realme-13-5g-meluncurkan-pekan-depan-ini-bocoran-spesifikasinya,"Realme 13+ 5G Meluncurkan Pekan Depan, Ini Bocoran Spesifikasinya",Gadget, 08 Oktober 2024 00:20 WIB,12/15/2024 19:52:57
https://www.jpnn.com/news/ajak-masyarakat-memerangi-judi-online-menkominfo-beri-9-trik-ini,"Ajak Masyarakat Memerangi Judi Online, Menkominfo Beri 9 Trik Ini",Komunikasi, 05 Oktober 2024 03:41 WIB,12/15/2024 19:52:58
https://www.jpnn.com/news/cari-penyewaan-mobil-lepas-kunci-yang-aman-dan-tepercaya-begini-caranya,Cari Penyewaan Mobil Lepas Kunci yang Aman dan Tepercaya? Begini Caranya,Smart, 05 Oktober 2024 01:35 WIB,12/15/2024 19:52:58
https://www.jpnn.com/news/kabar-tidak-baik-aplikasi-juno-akan-ditutup,"Kabar Tidak Baik, Aplikasi Juno Akan Ditutup",Smart, 03 Oktober 2024 14:41 WIB,12/15/2024 19:52:58
https://www.jpnn.com/news/whatsapp-rilis-2-fitur-baru-video-call-makin-menarik,"WhatsApp Rilis 2 Fitur Baru, Video Call Makin Menarik",Smart, 02 Oktober 2024 16:24 WIB,12/15/2024 19:52:58
https://www.jpnn.com/news/vpn-proxy-panduan-lengkap-untuk-pengguna-di-indonesia,VPN Proxy: Panduan Lengkap untuk Pengguna di Indonesia,Internet, 01 Oktober 2024 11:13 WIB,12/15/2024 19:52:58
https://www.jpnn.com/news/apple-bersiap-merilis-produk-terbaru-di-segmen-perangkat-rumah,Apple Bersiap Merilis Produk Terbaru di Segmen Perangkat Rumah,Gadget, 01 Oktober 2024 06:19 WIB,12/15/2024 19:52:59
https://www.jpnn.com/news/berburu-talenta-digital-indonesia-butuh-jutaan-orang-pintar,"Berburu Talenta Digital, Indonesia Butuh Jutaan Orang Pintar",Teknologi, 30 September 2024 17:50 WIB,12/15/2024 19:52:59
https://www.jpnn.com/news/threads-memperkenalkan-fitur-penandaan-lokasi-baru-di-unggahan,Threads Memperkenalkan Fitur Penandaan Lokasi Baru di Unggahan,Smart, 30 September 2024 12:12 WIB,12/15/2024 19:52:59
https://www.jpnn.com/news/lagu-adele-bob-dylan-hingga-green-day-tak-bisa-diputar-di-youtube,"Lagu Adele, Bob Dylan, Hingga Green Day Tak Bisa Diputar di YouTube",Komunikasi, 30 September 2024 11:49 WIB,12/15/2024 19:52:59
https://www.jpnn.com/news/permudah-pengguna-google-maps-meluncurkan-fitur-pelapor-insiden-di-android-auto,"Permudah Pengguna, Google Maps Meluncurkan Fitur Pelapor Insiden di Android Auto",Sains, 30 September 2024 11:45 WIB,12/15/2024 19:52:59
https://www.jpnn.com/news/main-event-2024-jadi-ajang-penguatan-industri-telekomunikasi-indonesia,MAIN Event 2024 Jadi Ajang Penguatan Industri Telekomunikasi Indonesia,Komunikasi, 30 September 2024 10:17 WIB,12/15/2024 19:53:00
https://www.jpnn.com/news/whatsapp-business-sediakan-ragam-fitur-untuk-memudahkan-penjualan-ini-kelebihannya,"WhatsApp Business Sediakan Ragam Fitur untuk Memudahkan Penjualan, Ini Kelebihannya",Smart, 30 September 2024 08:39 WIB,12/15/2024 19:53:00
https://www.jpnn.com/news/download-aplikasi-di-laptop-jadi-makin-lancar-pakai-biznet,Download Aplikasi di Laptop Jadi Makin Lancar Pakai Biznet,Internet, 29 September 2024 15:45 WIB,12/15/2024 19:53:00
https://www.jpnn.com/news/leonardo-hutabarat-ungkap-strategi-hadapi-serangan-siber-di-era-digital,Leonardo Hutabarat Ungkap Strategi Hadapi Serangan Siber di Era Digital,Internet, 28 September 2024 11:54 WIB,12/15/2024 19:53:00
https://www.jpnn.com/news/salesforce-meluncurkan-layanan-agen-ai-paling-unggul,Salesforce Meluncurkan Layanan Agen AI Paling Unggul,Smart, 21 September 2024 11:04 WIB,12/15/2024 19:53:01
https://www.jpnn.com/news/xiaomi-mix-flip-bakal-meluncur-akhir-bulan-ini-sebegini-harga-perkiraannya,"Xiaomi Mix Flip Bakal Meluncur Akhir Bulan Ini, Sebegini Harga Perkiraannya",Gadget, 21 September 2024 00:10 WIB,12/15/2024 19:53:02
https://www.jpnn.com/news/konsisten-berikan-konten-positif-snackvideo-borong-2-penghargaan-sekaligus,"Konsisten Berikan Konten Positif, SnackVideo Borong 2 Penghargaan Sekaligus",Smart, 19 September 2024 00:51 WIB,12/15/2024 19:53:02
https://www.jpnn.com/news/terungkap-ini-spesifikasi-ponsel-lipat-infinix-yang-meluncur-tahun-ini,"Terungkap, Ini Spesifikasi Ponsel Lipat Infinix yang Meluncur Tahun Ini",Gadget, 19 September 2024 00:10 WIB,12/15/2024 19:53:02
https://www.jpnn.com/news/whatsapp-tingkatkan-layanan-status-dengan-fitur-baru,WhatsApp Tingkatkan Layanan Status dengan Fitur Baru,Smart, 18 September 2024 15:02 WIB,12/15/2024 19:53:02
https://www.jpnn.com/news/versi-terbaru-pubg-mobile-apa-saja-yang-berbeda,"Versi Terbaru PUBG Mobile, Apa Saja yang Berbeda?",Smart, 17 September 2024 20:55 WIB,12/15/2024 19:53:02
https://www.jpnn.com/news/meta-kembangkan-fitur-baru-yang-bisa-membagikan-komentar-instagram-ke-threads,Meta Kembangkan Fitur Baru yang Bisa Membagikan Komentar Instagram ke Threads,Smart, 17 September 2024 07:55 WIB,12/15/2024 19:53:03
https://www.jpnn.com/news/setelah-iphone-16-apple-akan-meluncurkan-macbook-generasi-terbaru,"Setelah iPhone 16, Apple Akan Meluncurkan MacBook Generasi Terbaru",Komputer, 16 September 2024 19:33 WIB,12/15/2024 19:53:03
https://www.jpnn.com/news/netflix-hentikan-aplikasi-di-iphone-dan-ipad-ini-berikut-daftarnya,"Netflix Hentikan Aplikasi di iPhone dan iPad Ini, Berikut Daftarnya",Smart, 16 September 2024 00:12 WIB,12/15/2024 19:53:03
https://www.jpnn.com/news/gsma-perkirakan-penetrasi-5g-di-indonesia-meningkat-pesat-pada-2030,GSMA Perkirakan Penetrasi 5G di Indonesia Meningkat Pesat pada 2030,Internet, 15 September 2024 18:44 WIB,12/15/2024 19:53:03
https://www.jpnn.com/news/advan-meluncurkan-360-stylus-pro-intip-spesifikasi-dan-harganya,"Advan Meluncurkan 360 Stylus Pro, Intip Spesifikasi dan Harganya",Komputer, 15 September 2024 00:30 WIB,12/15/2024 19:53:03
https://www.jpnn.com/news/peresmian-icoach-central-mengusung-era-baru-pengembangan-manusia-di-indonesia,Peresmian iCoach Central Mengusung Era Baru Pengembangan Manusia di Indonesia,Sains, 14 September 2024 16:22 WIB,12/15/2024 19:53:04
https://www.jpnn.com/news/perluas-jaringan-digimap-buka-toko-apple-premium-di-karawaci-ada-tempat-service-center,"Perluas Jaringan, Digimap Buka Toko Apple Premium di Karawaci, Ada Tempat Service Center",Gadget, 13 September 2024 17:10 WIB,12/15/2024 19:53:04
https://www.jpnn.com/news/stiker-add-yours-sudah-tersedia-bagi-semua-pengguna-youtube-shorts,Stiker Add Yours Sudah Tersedia Bagi Semua Pengguna YouTube Shorts,Smart, 12 September 2024 18:32 WIB,12/15/2024 19:53:04
https://www.jpnn.com/news/para-ilmuwan-berhasil-membuka-potensi-mikroorganisme-laut,Para Ilmuwan Berhasil Membuka Potensi Mikroorganisme Laut,Sains, 10 September 2024 20:16 WIB,12/15/2024 19:53:05
https://www.jpnn.com/news/resmi-meluncur-iphone-16-hadir-dengan-chip-bionic-a18-sebegini-harganya,"Resmi Meluncur, iPhone 16 Hadir dengan Chip Bionic A18, Sebegini Harganya",Gadget, 10 September 2024 09:56 WIB,12/15/2024 19:53:05
https://www.jpnn.com/news/anak-muda-diminta-jaga-rekam-jejak-positif-di-medsos,Anak Muda Diminta Jaga Rekam Jejak Positif di Medsos,Internet, 10 September 2024 08:27 WIB,12/15/2024 19:53:05
https://www.jpnn.com/news/iphone-se-4-terbaru-akan-hadir-dengan-fitur-premium-harga-terjangkau,"iPhone SE 4 Terbaru Akan Hadir dengan Fitur Premium, Harga Terjangkau",Gadget, 09 September 2024 19:39 WIB,12/15/2024 19:53:06
https://www.jpnn.com/news/blibli-99-gadget-fest-banjir-promo-ada-cicilan-0-bebas-biaya-hingga-24-bulan,"Blibli 9.9 Gadget Fest: Banjir Promo, Ada Cicilan 0%, Bebas Biaya Hingga 24 Bulan",Gadget, 09 September 2024 14:44 WIB,12/15/2024 19:53:06
https://www.jpnn.com/news/apple-ditaksir-tidak-menawarkan-memori-128gb-di-iphone-16-pro-ini-alasannya,"Apple Ditaksir Tidak Menawarkan Memori 128GB di iPhone 16 Pro, Ini Alasannya",Gadget, 09 September 2024 14:29 WIB,12/15/2024 19:53:06
https://www.jpnn.com/news/elon-musk-targetkan-starship-bakal-mencapai-mars-dalam-2-tahun,Elon Musk Targetkan Starship Bakal Mencapai Mars dalam 2 Tahun,Smart, 08 September 2024 18:48 WIB,12/15/2024 19:53:06
https://www.jpnn.com/news/google-memungkinkan-kaum-hawa-mencoba-gaun-secara-virtual-diklaim-lebih-akurat,"Google Memungkinkan Kaum Hawa Mencoba Gaun Secara Virtual, Diklaim Lebih Akurat",Smart, 07 September 2024 13:40 WIB,12/15/2024 19:53:07
https://www.jpnn.com/news/resmi-meluncur-samsung-galaxy-a06-dilengkapi-fitur-hp-flagship,"Resmi Meluncur, Samsung Galaxy A06 Dilengkapi Fitur HP Flagship",Gadget, 07 September 2024 00:03 WIB,12/15/2024 19:53:07
https://www.jpnn.com/news/situasi-makin-sulit-snapchat-mulai-tempatkan-iklan-di-samping-pesan,"Situasi Makin Sulit, Snapchat Mulai Tempatkan Iklan di Samping Pesan",Komunikasi, 06 September 2024 11:03 WIB,12/15/2024 19:53:07
https://www.jpnn.com/news/fitur-baru-youtube-memungkinkan-akun-orang-tua-tersambung-kepada-anak-mereka,Fitur Baru YouTube Memungkinkan Akun Orang Tua Tersambung dengan Anak Mereka,Smart, 05 September 2024 18:04 WIB,12/15/2024 19:53:07
https://www.jpnn.com/news/pandangan-prof-haswandi-soal-tantangan-dan-peluang-ai-dalam-hukum-acara-perdata,Pandangan Prof. Haswandi soal Tantangan dan Peluang AI dalam Hukum Acara Perdata,Smart, 05 September 2024 11:03 WIB,12/15/2024 19:53:07
